#Time         gpu    pwr  gtemp  mtemp   mclk   pclk  rxpci  txpci 
#HH:MM:SS     Idx      W      C      C    MHz    MHz   MB/s   MB/s 
 06:53:10       1     77     33     32   1593   1410      3      8 
 06:53:11       1     76     33     32   1593   1410      0      5 
 06:53:12       1     76     33     31   1593   1410      4      1 
 06:53:14       1     76     33     31   1593   1410      2      0 
 06:53:15       1     76     33     31   1593   1410      0      4 
 06:53:16       1     76     33     30   1593   1410      0      0 
 06:53:17       1     76     33     31   1593   1410      0      0 
 06:53:18       1     76     33     31   1593   1410      3    102 
 06:53:19       1     77     33     30   1593   1410      8      0 
 06:53:20       1     77     33     31   1593   1410      0      0 
 06:53:21       1     76     33     31   1593   1410      0      0 
 06:53:22       1     76     33     31   1593   1410      1    103 
 06:53:23       1     78     32     31   1593   1410   4663      1 
 06:53:24       1     92     33     30   1593   1410      3      1 
 06:53:25       1     75     32     31   1593   1410      0      0 
 06:53:26       1     75     32     30   1593   1410      1    102 
 06:53:28       1     77     32     31   1593   1410   2788    317 
 06:53:29       1     83     33     30   1593   1410      0      0 
 06:53:30       1     75     32     31   1593   1410      0      0 
 06:53:31       1     78     32     31   1593   1410    922     10 
 06:53:32       1     76     32     30   1593   1410      0      0 
 06:53:33       1     76     32     31   1593   1410      1    102 
 06:53:34       1     82     32     30   1593   1410      0      0 
 06:53:35       1     76     32     30   1593   1410      0      0 
 06:53:36       1     75     32     30   1593   1410     28     13 
 06:53:37       1     76     32     30   1593   1410      0      0 
 06:53:38       1     75     32     30   1593   1410      1    103 
 06:53:39       1     83     32     30   1593   1410      0      0 
 06:53:40       1     76     32     31   1593   1410      0      0 
 06:53:41       1     75     32     30   1593   1410     32     23 
 06:53:42       1    281     37     33   1593   1410      4      8 
 06:53:43       1     79     34     31   1593   1410      0      2 
 06:53:44       1     80     34     31   1593   1410      4      1 
 06:53:46       1    133     35     32   1593   1410      0      0 
 06:53:47       1     77     34     32   1593   1410     25     16 
 06:53:48       1    204     38     33   1593   1410     18     48 
 06:53:49       1     77     34     31   1593   1410      2    103 
 06:53:50       1     84     34     31   1593   1410      4      1 
 06:53:51       1     81     34     31   1593   1410      0     13 
 06:53:52       1     77     34     31   1593   1410     19    319 
 06:53:53       1    291     41     33   1593   1410      2      0 
 06:53:54       1    225     37     34   1593   1410      4      1 
 06:53:55       1    235     38     33   1593   1410      0      0 
 06:53:56       1     77     34     32   1593   1410     21      2 
#Time         gpu    pwr  gtemp  mtemp   mclk   pclk  rxpci  txpci 
#HH:MM:SS     Idx      W      C      C    MHz    MHz   MB/s   MB/s 
 06:53:57       1     84     35     32   1593   1410      1      0 
 06:53:58       1     82     34     32   1593   1410     32     19 
 06:53:59       1    200     37     32   1593   1410      0      0 
 06:54:00       1     77     34     31   1593   1410     32     23 
 06:54:02       1     85     35     32   1593   1410      0      0 
 06:54:03       1    215     35     33   1593   1410      4      1 
 06:54:04       1     79     33     32   1593   1410     21     17 
 06:54:05       1     78     33     32   1593   1410      4    101 
 06:54:06       1     84     33     31   1593   1410      0      0 
 06:54:07       1     78     33     32   1593   1410      9     26 
 06:54:08       1     82     33     31   1593   1410     19     16 
 06:54:09       1     77     33     31   1593   1410      1    103 
 06:54:10       1     83     34     31   1593   1410      0      0 
 06:54:11       1     77     34     31   1593   1410     12      0 
 06:54:12       1     77     33     31   1593   1410     27     17 
 06:54:13       1     77     33     31   1593   1410     88    932 
 06:54:15       1     83     33     31   1593   1410      3      0 
 06:54:16       1     80     33     31   1593   1410     19    549 
 06:54:17       1     83     33     31   1593   1410  10859   1240 
 06:54:18       1     81     37     32   1593   1410      0      0 
 06:54:19       1    331     43     36   1593   1410      7     17 
 06:54:20       1     76     36     33   1593   1410     10      3 
 06:54:21       1     76     34     32   1593   1410      2      0 
 06:54:22       1     75     34     31   1593   1410      0      0 
 06:54:23       1     76     33     31   1593   1410     21     16 
 06:54:24       1     76     35     33   1593   1410     32     11 
