#Time         gpu    pwr  gtemp  mtemp   mclk   pclk  rxpci  txpci 
#HH:MM:SS     Idx      W      C      C    MHz    MHz   MB/s   MB/s 
 06:51:55       1     54     30     29   1593    210      7      5 
 06:51:56       1     54     30     30   1593    210      0      0 
 06:51:57       1     54     30     29   1593    210      0      0 
 06:51:58       1     54     30     30   1593    210      0      0 
 06:51:59       1     54     30     29   1593    210      0      0 
 06:52:00       1     54     30     29   1593    210      0      0 
 06:52:01       1     61     31     29   1593   1140      0      0 
 06:52:02       1     60     31     29   1593   1140      0      0 
 06:52:03       1     61     31     29   1593   1140     17      8 
 06:52:04       1     63     31     30   1593   1140      0   1394 
 06:52:05       1     69     31     29   1593   1140      0      0 
 06:52:06       1     60     31     30   1593   1140      0      0 
 06:52:07       1     60     31     29   1593   1140      9      3 
 06:52:08       1     61     31     30   1593   1140      6     22 
 06:52:09       1     62     31     30   1593   1140      1      0 
 06:52:10       1     64     31     29   1593   1140      0      0 
 06:52:12       1     76     31     29   1593   1410      4      1 
 06:52:13       1     79     31     29   1593   1410     20     16 
 06:52:14       1     63     31     29   1593   1140      0      0 
 06:52:15       1     61     31     29   1593   1140      4      1 
 06:52:16       1     61     31     30   1593   1140    121    417 
 06:52:17       1     63     31     29   1593   1140      0      0 
 06:52:18       1     60     31     29   1593   1140      0     15 
 06:52:19       1     63     31     29   1593   1140     33     20 
 06:52:21       1     62     31     29   1593   1140      0     10 
 06:52:22       1     60     31     29   1593   1140      0      0 
 06:52:23       1     61     31     29   1593   1140      4      5 
 06:52:24       1     64     31     29   1593   1140    124    117 
 06:52:25       1     62     31     29   1593   1140      0      0 
 06:52:26       1     60     31     29   1593   1140     13      0 
 06:52:27       1     63     31     29   1593   1140     18     19 
 06:52:28       1     60     34     31   1593   1140      0      9 
 06:52:29       1    274     40     33   1593   1410      4      1 
 06:52:30       1    268     39     35   1593   1410      4      0 
 06:52:31       1     82     34     31   1593   1410      0      0 
 06:52:32       1     75     33     31   1593   1410     32     23 
 06:52:33       1    331     35     31   1593   1410      0      0 
 06:52:34       1     77     33     31   1593   1410     28     21 
 06:52:35       1     81     37     32   1593   1410      1      0 
 06:52:36       1     75     34     31   1593   1410      0      0 
 06:52:37       1     75     33     31   1593   1410     20     13 
 06:52:38       1     81     33     31   1593   1410      0      0 
 06:52:39       1    130     43     33   1593   1410     45      0 
 06:52:41       1     76     35     32   1593   1410      0      0 
#Time         gpu    pwr  gtemp  mtemp   mclk   pclk  rxpci  txpci 
#HH:MM:SS     Idx      W      C      C    MHz    MHz   MB/s   MB/s 
 06:52:42       1     78     34     31   1593   1410     25     18 
 06:52:43       1     76     35     32   1593   1410      0      0 
 06:52:44       1     75     33     31   1593   1410      6     21 
 06:52:45       1     79     35     32   1593   1410      0      0 
 06:52:46       1     75     33     31   1593   1410     15     20 
 06:52:47       1     84     37     33   1593   1410      0      0 
 06:52:48       1     75     33     31   1593   1410      0      0 
 06:52:49       1     75     34     31   1593   1410      0      0 
 06:52:50       1    237     35     32   1593   1410     33      0 
 06:52:51       1     78     34     33   1593   1410      8     24 
 06:52:52       1     78     33     31   1593   1410     16     23 
 06:52:53       1     62     32     31   1593   1155      1    103 
 06:52:54       1     76     33     31   1593   1365      0     13 
 06:52:55       1     71     32     31   1593   1365     31      0 
 06:52:57       1     61     32     31   1593   1140      1    103 
 06:52:58       1     66     32     31   1593   1170     17    584 
 06:52:59       1     81     33     31   1593   1335      0      0 
 06:53:00       1    154     34     32   1593   1335     11     19 
 06:53:01       1     78     34     31   1593   1410      2      4 
 06:53:02       1     76     35     31   1593   1410      0      0 
 06:53:03       1    328     44     36   1593   1410      7      2 
 06:53:04       1     76     35     33   1593   1410     14     20 
 06:53:05       1     75     34     32   1593   1410      0      0 
 06:53:06       1     56     32     31   1593    555      0      0 
 06:53:07       1     63     32     31   1593   1140      0      1 
 06:53:08       1     76     34     32   1593   1410     21     19 
 06:53:09       1     75     33     32   1593   1410 
