#Time         gpu    pwr  gtemp  mtemp   mclk   pclk  rxpci  txpci 
#HH:MM:SS     Idx      W      C      C    MHz    MHz   MB/s   MB/s 
 15:04:52       0    121     38     43   2619    930     13     21 
 15:04:53       0    122     38     43   2619   1830      0      0 
 15:04:54       0    123     38     44   2619   1830      0      0 
 15:04:55       0    123     38     43   2619   1830      0      0 
 15:04:56       0    123     38     44   2619   1830      0      0 
 15:04:57       0    123     38     43   2619   1830      0      0 
 15:04:58       0    123     38     43   2619   1830      0      0 
 15:04:59       0    123     38     43   2619   1830      0      0 
 15:05:00       0    123     38     43   2619   1830      0      0 
 15:05:01       0    123     38     44   2619   1830      0      0 
 15:05:02       0    124     38     43   2619   1830     19     38 
 15:05:03       0    124     38     43   2619   1830      2      0 
 15:05:04       0    123     38     43   2619   1830     85     34 
 15:05:06       0    123     38     44   2619   1830     76      2 
 15:05:07       0    123     38     43   2619   1830     42     76 
 15:05:08       0    123     38     43   2619   1830     11     80 
 15:05:09       0    123     38     43   2619   1830     14     32 
 15:05:10       0    123     38     43   2619   1830     64      0 
 15:05:11       0    123     38     43   2619   1830      0    281 
 15:05:12       0    123     38     43   2619   1830     38     61 
 15:05:13       0    123     38     43   2619   1830      0      0 
 15:05:14       0    123     38     43   2619   1830     36     27 
 15:05:15       0    123     38     43   2619   1830     32     30 
 15:05:16       0    123     38     43   2619   1830      0      0 
 15:05:17       0    122     38     43   2619   1830      2    616 
 15:05:18       0    122     38     44   2619   1830     30     27 
 15:05:19       0    122     38     43   2619   1830      0      0 
 15:05:21       0    122     38     43   2619   1830      5     42 
 15:05:22       0    121     38     43   2619   1830     38     57 
 15:05:23       0    138     38     43   2619   1830     29     37 
 15:05:24       0    227     39     43   2619   1830      7     38 
 15:05:25       0    183     38     43   2619   1830      3      1 
 15:05:26       0    178     39     43   2619   1830     32     23 
 15:05:27       0    173     39     43   2619   1830     13    208 
 15:05:28       0    167     40     43   2619   1830      0      0 
 15:05:29       0    143     39     43   2619   1830    146    946 
 15:05:30       0    162     39     43   2619   1830     80     32 
 15:05:31       0    145     38     43   2619   1830     81     28 
 15:05:32       0    230     39     43   2619   1830    103     37 
 15:05:33       0    175     41     45   2619   1830     38     79 
 15:05:35       0    147     39     43   2619   1830      1     23 
 15:05:36       0    139     39     43   2619   1830      2      1 
 15:05:37       0    148     39     43   2619   1830     35     31 
 15:05:38       0    150     39     43   2619   1830     44      4 
#Time         gpu    pwr  gtemp  mtemp   mclk   pclk  rxpci  txpci 
#HH:MM:SS     Idx      W      C      C    MHz    MHz   MB/s   MB/s 
 15:05:39       0    150     39     43   2619   1830      0      0 
 15:05:40       0    144     40     44   2619   1830      0      0 
 15:05:41       0    143     41     45   2619   1830      0      0 
 15:05:42       0    134     40     45   2619   1830     31     13 
 15:05:43       0    132     39     43   2619   1830     33     10 
 15:05:44       0    126     39     43   2619   1830     32     23 
 15:05:45       0    123     38     43   2619   1830    397      0 
 15:05:46       0    127     39     43   2619   1830      0      0 
 15:05:47       0    125     38     43   2619   1830      0      0 
 15:05:48       0    138     38     43   2619   1830     35     73 
 15:05:49       0    145     38     43   2619   1830      2      1 
 15:05:50       0    124     38     43   2619   1830   1991      1 
 15:05:51       0    134     38     43   2619   1830      8      1 
 15:05:53       0    260     39     43   2619   1830      0     19 
 15:05:54       0    316     42     45   2619   1830     77      2 
 15:05:55       0    136     39     45   2619   1830     76      2 
 15:05:56       0    123     39     44   2619   1830     76      2 
 15:05:57       0    123     39     43   2619   1830    101     28 
 15:05:58       0    235     40     45   2619   1830     32     76 
 15:05:59       0    140     39     45   2619   1830     14     77 
