#Time         gpu    pwr  gtemp  mtemp   mclk   pclk  rxpci  txpci 
#HH:MM:SS     Idx      W      C      C    MHz    MHz   MB/s   MB/s 
 03:06:13       1     58     30     28   1593   1080      0      0 
 03:06:14       1     54     30     29   1593    210      1      5 
 03:06:15       1     54     30     29   1593    210      0      4 
 03:06:16       1     54     30     29   1593    210      0      0 
 03:06:17       1     54     30     29   1593    210      0      0 
 03:06:18       1     54     30     28   1593    210      0      0 
 03:06:19       1     54     29     29   1593    210      5     23 
 03:06:20       1     91     30     28   1593   1140      0      0 
 03:06:21       1     62     30     29   1593   1140      0      0 
 03:06:22       1     60     30     29   1593   1140      0      0 
 03:06:23       1     60     30     29   1593   1140      0      5 
 03:06:24       1     60     30     28   1593   1140     35     20 
 03:06:26       1     64     30     29   1593   1140      1     20 
 03:06:27       1     63     30     29   1593   1140      3      1 
 03:06:28       1     60     30     29   1593   1140      0      0 
 03:06:29       1     60     30     28   1593   1140      0      5 
 03:06:30       1     60     30     29   1593   1140     18     20 
 03:06:31       1     61     30     29   1593   1140      0      0 
 03:06:32       1     61     30     29   1593   1140     12      0 
 03:06:33       1     61     30     29   1593   1140     18     20 
 03:06:34       1     68     30     29   1593   1140      0      2 
 03:06:35       1     60     30     28   1593   1140      0      0 
 03:06:36       1     60     30     29   1593   1140     10     23 
 03:06:37       1     63     30     29   1593   1140    175      0 
 03:06:38       1     63     30     29   1593   1140      0      0 
 03:06:39       1     60     30     29   1593   1140     12      0 
 03:06:40       1     60     30     28   1593   1140     13     21 
 03:06:41       1     61     30     29   1593   1140      0      5 
 03:06:42       1     61     30     29   1593   1140      0      0 
 03:06:43       1     60     30     28   1593   1140     15     14 
 03:06:45       1     82     32     30   1593   1410      0      0 
 03:06:46       1     77     32     30   1593   1410     19    322 
 03:06:47       1    261     32     30   1593   1410      3      1 
 03:06:48       1     76     33     30   1593   1410      0      0 
 03:06:49       1     76     32     30   1593   1410     32     23 
 03:06:50       1    126     35     31   1593   1410      0      0 
 03:06:51       1     76     32     30   1593   1410     27     18 
 03:06:52       1    307     32     31   1593   1410      0     20 
 03:06:53       1     76     33     30   1593   1410      0      0 
 03:06:54       1     78     32     30   1593   1410     83     12 
 03:06:55       1    296     42     32   1593   1410      6      1 
 03:06:56       1    228     38     33   1593   1410      4      1 
 03:06:57       1     76     34     31   1593   1410      0      0 
 03:06:58       1     78     33     31   1593   1410     17     23 
#Time         gpu    pwr  gtemp  mtemp   mclk   pclk  rxpci  txpci 
#HH:MM:SS     Idx      W      C      C    MHz    MHz   MB/s   MB/s 
 03:06:59       1     77     35     31   1593   1410      0      0 
 03:07:00       1     82     33     31   1593   1410     16     21 
 03:07:01       1    152     35     31   1593   1410      0      0 
 03:07:03       1     76     33     31   1593   1410     15     20 
 03:07:04       1     83     35     31   1593   1410      0      0 
 03:07:05       1    175     35     32   1593   1410      4      1 
 03:07:06       1     81     32     31   1593   1410     33     23 
 03:07:07       1     75     32     30   1593   1410      4      1 
 03:07:08       1     82     32     31   1593   1410      0      0 
 03:07:09       1     78     32     30   1593   1410     21     21 
 03:07:10       1     61     31     30   1593   1140     18     19 
 03:07:11       1     60     31     30   1593   1140     12      6 
 03:07:12       1     75     32     30   1593   1410      8     22 
 03:07:13       1     76     32     30   1593   1140     16     12 
 03:07:15       1     62     31     30   1593   1140     33     20 
 03:07:16       1    191     33     30   1593   1140      0      0 
 03:07:17       1     76     32     30   1593   1410     21      3 
 03:07:18       1     60     31     30   1593   1140      1    104 
 03:07:19       1     76     32     30   1593   1410     17     20 
 03:07:20       1    300     37     31   1593   1410      0      0 
 03:07:21       1    333     42     34   1593   1410     29      2 
 03:07:22       1     76     35     32   1593   1410      9      3 
 03:07:23       1     75     33     31   1593   1410      0      0 
 03:07:24       1     56     32     30   1593    675      6      0 
 03:07:25       1     59     31     30   1593    420     33     16 
 03:07:26       1     75     34     32   1593   1410      4      1 
