#Time         gpu    pwr  gtemp  mtemp   mclk   pclk  rxpci  txpci 
#HH:MM:SS     Idx      W      C      C    MHz    MHz   MB/s   MB/s 
 15:03:44       0     72     34     41   2619    345     15     22 
 15:03:45       0     72     34     41   2619    345      0      0 
 15:03:46       0     72     34     41   2619    345      0      1 
 15:03:47       0     72     34     41   2619    345      0      0 
 15:03:48       0     72     34     41   2619    345      0      1 
 15:03:49       0     72     34     41   2619    345      0      0 
 15:03:50       0     72     34     41   2619    345      0      0 
 15:03:51       0     72     34     41   2619    345      0      0 
 15:03:52       0     72     34     41   2619    345      0      0 
 15:03:53       0     72     34     41   2619    345     30     26 
 15:03:54       0    120     35     41   2619   1980      0     28 
 15:03:55       0    122     36     41   2619   1980      0      0 
 15:03:57       0    122     36     41   2619   1980      0      0 
 15:03:58       0    122     36     41   2619   1980      0      0 
 15:03:59       0    122     36     42   2619   1980     36     31 
 15:04:00       0    123     36     41   2619   1980      0      0 
 15:04:01       0    123     36     41   2619   1980     31     35 
 15:04:02       0    123     36     41   2619   1980      8     42 
 15:04:03       0    123     36     41   2619   1980     41     59 
 15:04:04       0    123     36     42   2619   1980      2      0 
 15:04:05       0    123     36     41   2619   1980     41     69 
 15:04:06       0    122     36     41   2619   1980     32    434 
 15:04:07       0    122     36     41   2619   1980     81     32 
 15:04:08       0    123     36     41   2619   1980     48     95 
 15:04:09       0    122     36     41   2619   1980     17     72 
 15:04:11       0    122     36     41   2619   1980     14     78 
 15:04:12       0    122     36     41   2619   1980     28     39 
 15:04:13       0    122     36     41   2619   1980     35      8 
 15:04:14       0    122     36     41   2619   1980      0      0 
 15:04:15       0    125     36     41   2619   1980     70      0 
 15:04:16       0    224     41     43   2619   1980      0      0 
 15:04:17       0    182     38     43   2619   1980      7    214 
 15:04:18       0    178     38     43   2619   1980      0      0 
 15:04:19       0    148     37     43   2619   1980      9      4 
 15:04:20       0    172     38     43   2619   1980     33      5 
 15:04:21       0    163     40     43   2619   1980      0      0 
 15:04:22       0    161     37     43   2619   1980     68      0 
 15:04:23       0    143     38     43   2619   1980     53      0 
 15:04:24       0    229     40     43   2619   1980      5    219 
 15:04:26       0    165     40     43   2619   1980      1      1 
 15:04:27       0    157     38     43   2619   1980      1      1 
 15:04:28       0    152     38     43   2619   1980      3      1 
 15:04:29       0    152     38     43   2619   1980     94    658 
 15:04:30       0    150     38     43   2619   1980     27     35 
#Time         gpu    pwr  gtemp  mtemp   mclk   pclk  rxpci  txpci 
#HH:MM:SS     Idx      W      C      C    MHz    MHz   MB/s   MB/s 
 15:04:31       0    149     38     43   2619   1980      0      0 
 15:04:32       0    143     38     44   2619   1980      0      0 
 15:04:33       0    143     39     43   2619   1980      2      0 
 15:04:34       0    135     38     43   2619   1980      2      0 
 15:04:35       0    134     38     44   2619   1980      0      0 
 15:04:36       0    126     38     43   2619   1980     37     29 
 15:04:37       0    123     38     43   2619   1980     39     49 
 15:04:38       0    127     38     43   2619   1980      0     24 
 15:04:39       0    126     38     43   2619   1980      0      0 
 15:04:40       0    138     40     43   2619   1980     49      0 
 15:04:41       0    143     38     43   2619   1980      6      0 
 15:04:42       0    123     38     43   2619   1980      3      1 
 15:04:43       0    134     38     43   2619   1980      0      0 
 15:04:45       0    259     39     43   2619   1980     43     59 
 15:04:46       0    314     43     45   2619   1980      2      0 
 15:04:47       0    136     39     43   2619   1980      2      0 
 15:04:48       0    117     37     43   2619    930      3      0 
 15:04:49       0     76     37     43   2619   1980     90     37 
 15:04:50       0    232     39     44   2619   1980     88     28 
 15:04:51       0    139     38     43   2619   1980     76      3 
