#Time         gpu    pwr  gtemp  mtemp   mclk   pclk  rxpci  txpci 
#HH:MM:SS     Idx      W      C      C    MHz    MHz   MB/s   MB/s 
 03:07:29       1     75     32     31   1593   1410      6      0 
 03:07:30       1     75     32     30   1593   1410      0      0 
 03:07:31       1     75     32     30   1593   1410      0      0 
 03:07:32       1     75     32     30   1593   1410      0      0 
 03:07:33       1     75     32     30   1593   1410      0      0 
 03:07:34       1     74     32     30   1593   1410      0      0 
 03:07:35       1     75     32     30   1593   1410      0      0 
 03:07:36       1     75     32     30   1593   1410     32     23 
 03:07:37       1     77     32     30   1593   1410     18     22 
 03:07:38       1     76     32     30   1593   1410      0      0 
 03:07:39       1     75     32     30   1593   1410      0      4 
 03:07:40       1     75     32     30   1593   1410     16     22 
 03:07:41       1     81     32     30   1593   1410     25     32 
 03:07:42       1     77     32     30   1593   1410      0      0 
 03:07:43       1     74     32     30   1593   1410      0      0 
 03:07:45       1     75     32     30   1593   1410     21    318 
 03:07:46       1     75     32     30   1593   1410      0      0 
 03:07:47       1     74     32     30   1593   1410      0      4 
 03:07:48       1     80     32     30   1593   1410    175      5 
 03:07:49       1     81     32     30   1593   1410      0      0 
 03:07:50       1     74     32     30   1593   1410      9     26 
 03:07:51       1     77     32     30   1593   1410      0      0 
 03:07:52       1     78     32     30   1593   1410      0      0 
 03:07:53       1     74     31     30   1593   1410     18     20 
 03:07:54       1     76     32     30   1593   1410      0      0 
 03:07:55       1     74     32     30   1593   1410      0      4 
 03:07:56       1     81     32     29   1593   1410      0   1152 
 03:07:57       1     80     32     30   1593   1410      0      0 
 03:07:58       1     75     32     30   1593   1410     12     20 
 03:07:59       1     76     34     31   1593   1410      4      1 
 03:08:00       1     75     33     31   1593   1410     19      0 
 03:08:01       1     81     37     33   1593   1410      6      1 
 03:08:03       1     75     34     31   1593   1410      0     13 
 03:08:04       1     80     33     31   1593   1410    134   1231 
 03:08:05       1     82     35     31   1593   1410      0      0 
 03:08:06       1     77     33     30   1593   1410      8     20 
 03:08:07       1    244     37     32   1593   1410      4      0 
 03:08:08       1     75     33     31   1593   1410      0      0 
 03:08:09       1    273     37     32   1593   1410      1      0 
 03:08:10       1     76     34     31   1593   1410     18     18 
 03:08:11       1     75     33     31   1593   1410    119    417 
 03:08:12       1     75     33     32   1593   1410     12      0 
 03:08:13       1     75     32     31   1593   1410     17      2 
 03:08:15       1     75     33     31   1593   1410     26     20 
#Time         gpu    pwr  gtemp  mtemp   mclk   pclk  rxpci  txpci 
#HH:MM:SS     Idx      W      C      C    MHz    MHz   MB/s   MB/s 
 03:08:16       1    141     35     31   1593   1410      0      0 
 03:08:17       1     75     33     31   1593   1410     17      3 
 03:08:18       1    183     36     31   1593   1410      9     26 
 03:08:19       1     75     33     31   1593   1410      1    102 
 03:08:20       1    207     37     32   1593   1410     45      0 
 03:08:21       1     81     33     31   1593   1410      3      1 
 03:08:22       1     75     33     31   1593   1410     21      0 
 03:08:23       1     75     33     30   1593   1410     12      0 
 03:08:24       1     78     33     31   1593   1410      3     27 
 03:08:25       1     76     32     30   1593   1410     20     14 
 03:08:26       1     76     32     31   1593   1410      4      1 
 03:08:27       1     79     32     31   1593   1410     42      0 
 03:08:28       1     75     32     30   1593   1410     17      8 
 03:08:30       1     83     35     31   1593   1410      4      0 
 03:08:31       1     75     33     31   1593   1410     20      3 
 03:08:32       1     75     32     30   1593   1410      0      4 
 03:08:33       1     75     32     30   1593   1410      0    104 
 03:08:34       1    300     44     33   1593   1410      0      0 
 03:08:35       1     78     36     33   1593   1410      1      0 
 03:08:36       1     78     36     33   1593   1410      0      0 
 03:08:37       1     75     34     32   1593   1410      0      0 
 03:08:38       1     75     33     31   1593   1410      0      0 
 03:08:39       1     75     33     31   1593   1410      4      1 
 03:08:40       1     82     35     33   1593   1410     10      0 
