#Time         gpu    pwr  gtemp  mtemp   mclk   pclk  rxpci  txpci 
#HH:MM:SS     Idx      W      C      C    MHz    MHz   MB/s   MB/s 
 02:50:10       1     66     30     29   1593   1410      8      8 
 02:50:11       1     75     31     29   1593   1410     12      0 
 02:50:12       1     75     31     29   1593   1410     32     11 
 02:50:14       1     75     31     29   1593   1410      2      0 
 02:50:15       1     75     31     29   1593   1410      0      0 
 02:50:16       1     75     31     30   1593   1410      0      0 
 02:50:17       1     75     31     29   1593   1410      0      0 
 02:50:18       1     75     31     30   1593   1410     28     13 
 02:50:19       1     77     32     30   1593   1410      1      0 
 02:50:20       1     77     32     30   1593   1410      0      0 
 02:50:21       1     75     32     30   1593   1410      0     13 
 02:50:22       1     75     32     30   1593   1410     23     18 
 02:50:23       1     82     32     30   1593   1410      0     20 
 02:50:24       1     81     32     30   1593   1410      0      0 
 02:50:25       1     75     32     30   1593   1410      0      0 
 02:50:26       1     75     32     29   1593   1410     27     18 
 02:50:27       1     82     32     30   1593   1410      1      0 
 02:50:29       1     79     32     30   1593   1410      0      0 
 02:50:30       1     76     32     30   1593   1410      1    102 
 02:50:31       1     77     32     30   1593   1410    964      7 
 02:50:32       1     76     32     30   1593   1410      1      0 
 02:50:33       1     76     32     30   1593   1410     27     21 
 02:50:34       1     81     32     29   1593   1410      0      0 
 02:50:35       1     75     32     29   1593   1410      0      0 
 02:50:36       1     75     32     30   1593   1410     32     22 
 02:50:37       1     75     32     30   1593   1410      0      0 
 02:50:38       1     75     32     30   1593   1410      0      5 
 02:50:39       1     82     32     29   1593   1410      0      0 
 02:50:40       1     82     32     30   1593   1410      0      0 
 02:50:41       1     76     32     30   1593   1410     32     23 
 02:50:42       1     78     38     33   1593   1410      4      1 
 02:50:43       1     78     33     31   1593   1410  10763      2 
 02:50:44       1     83     34     32   1593   1410      8      1 
 02:50:45       1     81     35     32   1593   1410      0      0 
 02:50:46       1     79     33     31   1593   1410      7     21 
 02:50:47       1     83     36     33   1593   1410      2      2 
 02:50:49       1     77     34     31   1593   1410      0     13 
 02:50:50       1     77     33     31   1593   1410     20    319 
 02:50:51       1     85     36     32   1593   1410      0      0 
 02:50:52       1     77     34     31   1593   1410     16     21 
 02:50:53       1    281     40     33   1593   1410      3      0 
 02:50:54       1     78     34     32   1593   1410      4      1 
 02:50:55       1    235     36     32   1593   1410      0      0 
 02:50:56       1     78     34     31   1593   1410     21      3 
#Time         gpu    pwr  gtemp  mtemp   mclk   pclk  rxpci  txpci 
#HH:MM:SS     Idx      W      C      C    MHz    MHz   MB/s   MB/s 
 02:50:57       1     91     36     32   1593   1410      0      0 
 02:50:58       1     77     34     32   1593   1410     33     23 
 02:50:59       1    196     36     31   1593   1410     41      0 
 02:51:00       1     77     34     31   1593   1410     20     21 
 02:51:01       1     95     35     32   1593   1410      0      0 
 02:51:02       1     82     35     33   1593   1410      4      1 
 02:51:03       1     77     33     31   1593   1410     20      3 
 02:51:05       1     76     33     31   1593   1410      0      0 
 02:51:06       1     77     33     31   1593   1410    706      0 
 02:51:07       1     76     33     31   1593   1410     31     23 
 02:51:08       1     76     33     31   1593   1410      0      4 
 02:51:09       1     83     33     31   1593   1410      0      0 
 02:51:10       1     76     33     30   1593   1410     32     23 
 02:51:11       1     83     35     31   1593   1410     38      1 
 02:51:12       1     76     33     31   1593   1410      3     92 
 02:51:13       1     82     32     30   1593   1410     16     12 
 02:51:15       1     78     33     31   1593   1410     17     12 
 02:51:16       1     76     33     31   1593   1410      3    103 
 02:51:17       1     77     33     31   1593   1410     32     23 
 02:51:18       1     78     39     32   1593   1410      2      0 
 02:51:19       1    332     42     35   1593   1410      7      3 
 02:51:20       1     76     35     32   1593   1410     12      0 
 02:51:21       1     75     34     32   1593   1410      0      0 
 02:51:22       1     75     33     32   1593   1410      0      0 
 02:51:23       1     77     33     31   1593   1410     21     22 
 02:51:24       1     76     35     32   1593   1410     17     20 
